#separator:tab
#html:true
#columns:NoteID	Front	Back	Tags
2022S_FE_AM_78	<img src="Pasted image 20241022183221.png"><br><img src="Pasted image 20241022183229.png">	d)<br><br>i will work on this ##soon (or someone help discuss if its ok)	math business-administration philnits 2022S_FE_AM_78
2018A_FE_02	Which of the following is an appropriate description of honeypots?<br><br>a) Antivirus software to detect and clean or quarantine virus-infected programs<br>b) Computer system designed to detect or counteract unauthorized access<br>c) Firewall to detect and prevent unauthorized access to computer systems<br>d) Security mechanism to run untrusted programs without risking the computer	b) Computer system designed to detect or counteract unauthorized access<br><br>## Honeypot<br><br>A honeypot is a cybersecurity tool that lures and analyzes unauthorized access to a network, computer system, or website.<br><br>The term comes from the idea of using honey to attract adversaries.<br><br><img src="Pasted image 20241023105442.png">	cybersecurity philnits 2018 2018A_FE_02
2018A_FE_47	Which of the following is a module strength for the collection of multiple sequential functions, with internal passing of data?<br><br>a) Communicational strength<br>b) Functional strength<br>c) Informational strength<br>d) Procedural strength	a) Communicational strength<br><br>### Explanation<br><br>- **Communicational strength** refers to a module where the components (functions or procedures) are related because they work on the same data. These functions are grouped together because they perform operations on the same input data or contribute to processing a piece of information that needs to be passed between them.<br><br>In this case, the functions are dependent on each other for passing data between them internally, which is what gives the module communicational strength.<br><br><br>## Other Choices<br><br>- **Functional strength**: All the functions in the module contribute to a single, well-defined task or goal.<br><br>- **Informational strength**: The module encapsulates data, and different functions in the module operate on different pieces of that data, without necessarily interacting with each other.<br><br>- **Procedural strength**: The functions in the module are grouped because they need to follow a specific sequence of steps, not necessarily because they work on the same data.	systems-architecture philnits 2018 2018A_FE_47
2018A_FE_48	<img src="Pasted image 20241023110444.png">	<img src="Pasted image 20241023110531.png"><br><br>## Mental Framework<br><br>Always remember that an Object cannot exist without a Class that it uses as a "blueprint" to create it (`Class => Object`).<br><br>A Class groups data, functions, and properties together into a single Object when instantiated.<br><br>An Object can also be called a "Class Instance".	object-oriented-programming philnits 2018 2018A_FE_48
2018A_FE_49	Which of the following is an appropriate description concerning the black box test?<br><br>a) Even if the program to be tested contains redundant code, such code cannot be detected.<br>b) If the number of branch instructions and modules increases, the test data volume<br>increases rapidly.<br>c) In consideration of the internal structure of the program, it is verified whether or not the<br>necessary part is executed.<br>d) The coverage rate of instructions and branches is used as criteria for the creation of test<br>data.	a) Even if the program to be tested contains redundant code, such code cannot be detected.<br><br>## Black Box vs White Box Testing<br><br>> [!info] We think of a black box as something we cannot look into, so implementation details and code cannot be seen.<br>> - **We only test the business domain expectations**: "This function must return the product of two numbers", but we do not know if it uses the `*` operator or does multiple additions to accomplish it.<br>> - Meanwhile, in White Box testing, the developers know the implementation details and they can test multiple "branches" of the function so that they can see if their conditionals can all be reached - to remove redundant code.<br><br><img src="Pasted image 20241023110851.png"><br><br><img src="Pasted image 20241023110838.png">	software-testing philnits 2018 2018A_FE_49
2018A_FE_50	Which of the following is an appropriate testing type to ensure that the interfaces and linkages between different parts of programs work properly?<br><br>a) Acceptance test<br>b) Integration test<br>c) Qualification test<br>d) Unit test	b) Integration test<br><br><br>## Integration Test Example<br><br>An example of an integration test is when you want to test if your application can properly fetch from an external database server and a data server which contains your data so that your application can send the correct output.<br><br>Integration tests are done to ensure that communication across external services or different parts of a system can communicate properly - within expectations.<br><br>## Choices<br><br>### 1. **Acceptance Test**:<br><br>- **Purpose**: This type of testing ensures that the system meets business requirements and that it works as expected for the end user. Acceptance testing is usually performed after all functional and non-functional testing has been completed.<br>- **Example**: If a customer is using a new payment system, an acceptance test would ensure that the payment process works as intended from the user's point of view.<br>- **Key Focus**: It evaluates the system from the user or client’s perspective to confirm that it satisfies the acceptance criteria before going live.<br><br>### 2. **Integration Test** (Correct Answer):<br><br>- **Purpose**: This type of testing checks the interfaces and interaction between different modules, components, or external systems. It's used to ensure that these parts work together as intended.<br>- **Example**: Testing if a web application can correctly interact with both a database server and an external payment gateway to process a transaction.<br>- **Key Focus**: Ensures that different parts of a system communicate and integrate properly.<br><br>### 3. **Qualification Test**:<br><br>- **Purpose**: This test is performed to ensure that a product meets specific quality standards or regulatory requirements. Qualification tests are common in industries like aerospace, medical devices, or any sector that requires certification or regulatory approval.<br>- **Example**: A medical device being tested to meet safety and functional standards for regulatory approval.<br>- **Key Focus**: Ensuring the product complies with certain standards or criteria required for operation.<br><br>### 4. **Unit Test**:<br><br>- **Purpose**: A unit test focuses on testing individual components or pieces of code, typically at the function or method level, to ensure they work as expected in isolation.<br>- **Example**: Testing a single function that adds two numbers to ensure that it returns the correct result.<br>- **Key Focus**: Verifies the correctness of individual units of code in isolation, without involving other parts of the system.	software-testing philnits 2018 2018A_FE_50
2018A_FE_51	Which of the following is an explanation of reverse engineering of software?<br><br>a) The entire software is reconstructed after analyzing and understanding the existing<br>software.<br>b) The existing software is analyzed, and its specification and structure are clarified.<br>c) The internal structure of software is changed without changing the behavior seen from<br>the outside.<br>d) The source code is generated automatically from the design information by using a<br>development support tool	b) The existing software is analyzed, and its specification and structure are clarified.<br><br>> [!info] Software Reverse Engineering is a process of recovering the design, requirement specifications, and functions of a product from an analysis of its code.<br>## Example of Reverse Engineering<br><br>Let's say you need to analyze an application that sends streams of bytes, but you need to identify what that data actually is.<br><br>To "reverse engineer" this is to test multiple data type structures until you get data that makes sense, so that you can conclude the specifications of the byte stream you are reverse engineering.<br><br>Another example is that you have the compiled `.exe` of a program, but you need to find the original `.c` code, so you attempt to reverse engineer `.c` code until it matches the output of the `.exe` code.	cybersecurity philnits 2018 2018A_FE_51
2018A_FE_52	Which of the following is an appropriate description for group decision-making techniques used in an estimate activity durations process?<br><br>a) A group of experts, guided by historical information, can provide duration estimate<br>information or recommended maximum activity durations from prior similar projects.<br>b) The estimates from such techniques may include contingency reserves, sometimes<br>referred to as time reserves or buffers, in the project schedule to account for schedule<br>uncertainty.<br>c) These are team-based approaches, such as brainstorming, the Delphi or nominal group<br>techniques, which are useful for engaging team members to improve estimate accuracy<br>and commitment to the emerging estimates.<br>d) These techniques use a statistical relationship between historical data and other variables<br>to calculate an estimates of activity parameters, such as cost, budget, and duration.	c) These are team-based approaches, such as brainstorming, the Delphi or nominal group<br>techniques, which are useful for engaging team members to improve estimate accuracy<br>and commitment to the emerging estimates.<br><br><br>## Choices<br><br>### a) **A group of experts, guided by historical information, can provide duration estimate information or recommended maximum activity durations from prior similar projects.**<br><br>- **Explanation**: This statement describes **expert judgment**, which involves consulting people with experience in similar projects to estimate activity durations based on their past experiences. Experts use historical data as guidance.<br>- **Why it's not correct**: While expert judgment is useful, it’s not a group decision-making technique. It usually involves a few experts providing input, not a structured group-based approach like brainstorming or Delphi techniques.<br><br>### b) **The estimates from such techniques may include contingency reserves, sometimes referred to as time reserves or buffers, in the project schedule to account for schedule uncertainty.**<br><br>- **Explanation**: This option refers to the concept of adding **contingency reserves** (buffers) to project estimates to manage uncertainties or risks. This is done to account for potential delays or unforeseen events.<br>- **Why it's not correct**: Although contingency reserves are important in estimating durations, this option focuses on adding buffer time for risks, not on a group decision-making technique for gathering the estimates themselves.<br><br>### **c) These are team-based approaches, such as brainstorming, the Delphi or nominal group techniques, which are useful for engaging team members to improve estimate accuracy and commitment to the emerging estimates.** (Correct)<br><br>- **Explanation**: This option refers to **group decision-making techniques**, which include:<br>    - **Brainstorming**: Team members collectively discuss and generate ideas or estimates.<br>    - **Delphi Technique**: A structured communication technique where experts provide estimates independently, and rounds of feedback are provided until a consensus is reached.<br>    - **Nominal Group Technique**: A group decision-making process where each team member provides input independently, then ranks the ideas collectively to reach a consensus. These methods improve the accuracy of estimates by involving multiple perspectives, and engaging the team increases their commitment to the estimates.<br>- **Why it's correct**: These approaches specifically describe **group decision-making techniques** that involve team collaboration, which directly aligns with the question's focus on estimate activity durations.<br><br>### d) **These techniques use a statistical relationship between historical data and other variables to calculate estimates of activity parameters, such as cost, budget, and duration.**<br><br>- **Explanation**: This describes **parametric estimating**, a technique where historical data and mathematical models are used to estimate project parameters (e.g., duration, cost). It involves using a statistical relationship between variables.<br>- **Why it's not correct**: Parametric estimating is not a group decision-making technique. It’s a quantitative method that uses historical data and mathematical formulas rather than team-based collaboration to make estimates.	project-management philnits 2018 2018A_FE_52
2018A_FE_53	Which of the following is an appropriate description of the activities on the critical path of a project?<br><br>a) Any activity on the critical path is called a critical path activity.<br>b) The critical path is the sequence of activities that represents the shortest path through a<br>project.<br>c) The critical path must contain the activity that has the longest duration compared to the<br>other all activities.<br>d) The sum of activities on the critical path determines the longest possible project<br>duration.	d) The sum of activities on the critical path determines the longest possible project<br>duration.<br><br>## Critical Path<br><br>The **critical path method (CPM)** is a sophisticated project management technique for planning, scheduling, and managing the tasks necessary to complete a project from start to finish. It is also sometimes referred to as **critical path analysis (CPA)**.<br><br>The critical path method does two main things:<br><br>1. It helps project managers find the most important tasks in a project that _critically_ affect how long a project will take.<br>2. It helps project managers make an efficient schedule so they can finish the entire project on time and within budget.<br><br><img src="Pasted image 20241023112514.png">	project-management philnits 2018 2018A_FE_53
2018A_FE_54	Which of the following is an appropriate cost estimation technique that uses parametric<br>models to create an objective estimate based on each element size and the complexity of<br>the system (e.g., number of input files, screens, etc.) to be built?<br><br>a) Analogous estimating<br>b) Bottom-up estimating<br>c) Function point method<br>d) Three-point estimating	c) Function point method<br><br><br>## Choices<br><br>### **a) Analogous Estimating**:<br><br>- **Explanation**: Analogous estimating, also called **top-down estimating**, involves using the actual cost or duration of similar past projects (or activities within projects) to estimate the cost or duration of the current project. It relies on historical data and expert judgment to draw comparisons.<br>- **Example**: If a previous project took 6 months and $100,000 to complete, a new project of similar scope might be estimated to take the same.<br>- **Why it’s not correct**: Analogous estimating does not focus on parametric models or system complexity but rather on using past projects as reference points.<br><br>### **b) Bottom-up Estimating**:<br><br>- **Explanation**: Bottom-up estimating involves breaking down the project into smaller components or activities and estimating the cost or duration of each activity individually. These individual estimates are then rolled up to calculate the total project cost or duration.<br>- **Example**: Estimating the cost for every single task in a software project (e.g., coding, testing, debugging) and adding them together to get a total project estimate.<br>- **Why it’s not correct**: Bottom-up estimating is more granular and time-consuming and doesn’t use parametric models or focus on system complexity.<br><br>### **c) Function Point Method** (Correct Answer):<br><br>- **Explanation**: The **function point method** is a parametric cost estimation technique that quantifies the size of a system based on its functional components, like inputs, outputs, user interactions (screens), and files. It assesses complexity by counting these elements and applying weights based on their complexity. This method is commonly used in software development to estimate effort, cost, and time.<br>- **Example**: Estimating the cost of developing a software system by analyzing how many input files, reports, user interfaces (screens), and external interactions are required, then applying standard complexity-based multipliers to get an estimate.<br>- **Why it’s correct**: The function point method uses a parametric model to create objective estimates based on the size and complexity of the system, making it appropriate for the scenario described in the question.<br><br>### **d) Three-Point Estimating**:<br><br>- **Explanation**: Three-point estimating involves calculating three different estimates for a task: the **optimistic** (best-case scenario), **pessimistic** (worst-case scenario), and **most likely** estimates. These three estimates are then combined, often using a weighted average (such as the PERT formula), to account for uncertainty and risk.<br>- **Example**: Estimating that a task will take 4 days in the best case, 10 days in the worst case, and 6 days most likely, then calculating an average estimate.<br>- **Why it’s not correct**: Three-point estimating deals with uncertainty by considering different scenarios, but it doesn’t rely on parametric models or focus on system complexity.<br><br>### Summary of Differences:<br><br>- **Analogous estimating**: Uses historical data from similar projects.<br>- **Bottom-up estimating**: Breaks the project into small pieces and estimates each one individually.<br>- **Function point method**: Uses parametric models to estimate based on the system's functional size and complexity (correct answer).<br>- **Three-point estimating**: Accounts for uncertainty by considering optimistic, pessimistic, and most likely scenarios.	project-management philnits 2018 2018A_FE_54
2018A_FE_55	<img src="Pasted image 20241023113131.png">	d)<br><br>This indicates that fewer new bugs are being found per test item, suggesting a stabilizing quality condition.<br><br>## What Constitutes Stable Quality?<br><br>**A stable quality condition** means that the rate of new bugs being discovered is decreasing as more test items are completed.<br><br>> [!tip] When a bug is discovered, making a test documents and stops it, but doesn't remove it from the cumulative calculation.<br>> - cumulative means past number of bugs are still being included in the sum.<br>>  - `[1, 2, 0, 0]` the cumulative sum is still 3, not `0`, despite no more bugs being in the system.<br><br><br>## Other Choices<br><br>- **A)** shows a rapid decrease in the cumulative number of bugs, which is unrealistic as bugs are typically discovered throughout the testing process.<br>- **B)** shows a continuous increase in the cumulative number of bugs at a relatively constant rate, indicating no improvement in quality.<br>- **C)** shows a linear relationship between the number of completed test items and the cumulative number of bugs, suggesting a constant rate of bug discovery, which is not indicative of a stable quality condition.	software-testing philnits 2018 2018A_FE_55
2018A_FE_56	When the development department and operations department of a system are organized separately, which of the following is an appropriate method of smoothly and effectively proceeding with the design and migration of a new service that needs system development?<br><br>a) After the completion of the operational test, the development department explains the<br>system specifications and operation methods to the operations department.<br>b) The development department conducts operational test, creates the operation manuals,<br>and passes them over to the operations department.<br>c) The operational test is conducted only by the operations department without the support<br>of the development department.<br>d) The operations department also participates actively in the extraction of requirements<br>concerning the system operations.	d) The operations department also participates actively in the extraction of requirements<br>concerning the system operations.<br><br>### **a) After the completion of the operational test, the development department explains the system specifications and operation methods to the operations department.**<br><br>- **Explanation**: In this approach, the development team completes the operational test first and then explains how the system works to the operations team.<br>- **Why it’s not correct**: This method assumes that the operations team gets involved only **after** the development and testing phases are completed. It delays their participation until late in the process, which could lead to misunderstandings or missed requirements, especially in system operations, making it less effective in ensuring smooth collaboration.<br><br>### **b) The development department conducts operational test, creates the operation manuals, and passes them over to the operations department.**<br><br>- **Explanation**: Here, the development team is responsible for testing the system, creating the operations manuals, and handing them off to the operations department.<br>- **Why it’s not correct**: This approach also excludes the operations team from active participation during critical stages like testing. The development team might not fully understand all operational requirements, leading to potential issues during system migration or live operations. It creates a disconnect between development and operations, and problems may arise later when the operations team encounters issues not covered in the manuals.<br><br>### **c) The operational test is conducted only by the operations department without the support of the development department.**<br><br>- **Explanation**: In this option, the operations department conducts the operational testing on its own without any involvement from the development team.<br>- **Why it’s not correct**: This method places the entire responsibility of testing on the operations team without support from development. Since the development team is familiar with the system's design and architecture, excluding them during testing can lead to gaps in understanding and failure to identify critical issues. Smooth integration requires collaboration, especially during testing.<br><br>### **d) The operations department also participates actively in the extraction of requirements concerning the system operations.** (Correct Answer)<br><br>- **Explanation**: This approach involves the operations department from the **very beginning**, especially during the extraction of requirements related to system operations. The operations team contributes to defining how the system will be used in practice, helping to design features that will work smoothly in the operational environment.<br>- **Why it’s correct**: By actively involving the operations department early in the process (during the requirements phase), both teams can ensure that operational concerns are addressed during system design and development. This method aligns with **DevOps principles**, which encourage collaboration between development and operations to reduce silos, improve communication, and increase the likelihood of a successful system migration. This approach also ensures that the operational aspects of the system are considered from the start, leading to fewer issues later on.<br><br>### Summary of Differences:<br><br>- **a)** and **b)** involve the operations team **too late in the process**, only after the system has been developed and tested. This can lead to issues during implementation because the operations team may not have provided input early enough.<br>- **c)** puts too much responsibility on the operations team without proper collaboration from the development team, creating inefficiencies.<br>- **d)** involves both the development and operations teams early on, leading to better communication, more accurate system design, and a smoother transition to operations.	devops philnits 2018 2018A_FE_56
2018A_FE_57	In IT service management, which of the following is the most appropriate functional organization that provides a single point of contact and tries to provide rapid restoration of normal service operations to users?<br><br>a) Service desk<br>b) Service management<br>c) Service provider<br>d) Supplier	a) Service desk<br>### **a) Service Desk** (Correct Answer):<br><br>- **Explanation**: In IT Service Management (ITSM), the **service desk** is the primary point of contact between the users (customers) and the IT service provider. Its main function is to handle **incident management**, meaning it works to **restore normal service operations as quickly as possible** when something goes wrong. The service desk handles service requests, issues, and queries, and coordinates with various teams to resolve incidents and minimize downtime.<br>- **Why it’s correct**: The service desk provides a **single point of contact** for users and is focused on rapidly restoring normal service operations, which directly matches the scenario described in the question. Its goal is to ensure efficient and timely resolution of issues, thus helping maintain service quality and minimizing disruptions for the user.<br><br>### **b) Service Management**:<br><br>- **Explanation**: **Service management** refers to the broader set of processes and activities involved in the delivery and support of IT services. It encompasses various frameworks, such as **ITIL** (Information Technology Infrastructure Library), which defines how services are designed, delivered, managed, and improved.<br>- **Why it’s not correct**: Service management is a broad concept that covers the entire lifecycle of IT services, from planning to delivery, support, and continual improvement. While it involves ensuring service quality and restoration of normal operations, it does not specifically refer to a single functional organization or provide a direct point of contact like the service desk.<br><br>### **c) Service Provider**:<br><br>- **Explanation**: A **service provider** is an organization or entity that provides IT services to customers. This could be an internal IT department acting as the provider to a company or an external company delivering IT services on a contractual basis (e.g., managed service providers).<br>- **Why it’s not correct**: The service provider is a broader entity responsible for delivering IT services, but it does not function as a single point of contact for users. While a service desk may be a part of the service provider’s operations, the term "service provider" refers to the whole organization responsible for the services, not the specific team or function that directly supports users in restoring operations.<br><br>### **d) Supplier**:<br><br>- **Explanation**: In ITSM, a **supplier** is an external organization that provides goods or services required to deliver IT services. This can include hardware vendors, software developers, or third-party service providers that offer specific components of the IT service.<br>- **Why it’s not correct**: Suppliers are external entities that provide resources or products to the service provider but are not responsible for interacting with end users or restoring normal service operations. They are not a single point of contact for the users, nor do they handle direct incident management.<br><br>### Summary of Differences:<br><br>- **Service desk**: The **correct answer**, serving as the single point of contact for users and responsible for restoring normal service operations quickly.<br>- **Service management**: The broader management of IT services, encompassing all processes related to service delivery but not a specific point of contact for users.<br>- **Service provider**: The entire organization or entity responsible for delivering IT services, not the specific function that interacts with users directly.<br>- **Supplier**: External entities providing components or services to the service provider but not involved in direct user support or incident resolution.	service-management philnits 2018 2018A_FE_57
2018A_FE_58	Which of the following is an effective means of protecting an information system from the damage of over-voltage that occurs because of a lightning strike?<br><br>a) Connecting the communication cable and the computer through a surge protection<br>device (SPD)<br>b) Digitalizing the control circuit of electric power facilities<br>c) Installing a private power generator<br>d) Splitting the communication wire into two (2) systems that have different paths	a) Connecting the communication cable and the computer through a surge protection<br>device (SPD)<br><br><img src="Pasted image 20241023114229.png"><br><br><br>## Choices<br><br>### **a) Connecting the communication cable and the computer through a surge protection device (SPD)** (Correct Answer):<br><br>- **Explanation**: A **Surge Protection Device (SPD)** is specifically designed to protect electrical equipment from power surges and spikes, such as those caused by lightning strikes. When a surge occurs, the SPD detects the sudden increase in voltage and either blocks or redirects it safely to the ground, preventing it from reaching sensitive equipment like computers and communication systems. By connecting communication cables and computers through an SPD, you can effectively prevent over-voltage from damaging your system.<br>- **Why it’s correct**: Lightning strikes can cause significant voltage spikes, which can damage or destroy computer equipment. Installing SPDs ensures that these voltage spikes are safely managed, making it the most appropriate and direct means of protection against such incidents.<br><br>### **b) Digitalizing the control circuit of electric power facilities**:<br><br>- **Explanation**: Digitalizing control circuits in power facilities involves replacing analog systems with digital ones, which can improve efficiency, monitoring, and control. However, this does not provide any direct protection against over-voltage caused by lightning strikes.<br>- **Why it’s not correct**: While digitalization might help in other aspects of power management, it does not address the specific issue of protecting equipment from lightning-induced power surges.<br><br>### **c) Installing a private power generator**:<br><br>- **Explanation**: A **private power generator** provides backup power in case of power outages. It ensures that systems can keep running when the main power supply is interrupted.<br>- **Why it’s not correct**: A power generator does not protect against over-voltage or power surges caused by lightning strikes. Generators are primarily used to provide continuous power but do not filter or regulate voltage spikes. Therefore, it does not address the problem of over-voltage damage directly.<br><br>### **d) Splitting the communication wire into two (2) systems that have different paths**:<br><br>- **Explanation**: Splitting communication wires into two systems with different paths involves creating redundant communication lines. This is often done for fault tolerance, ensuring that if one path fails, the other can continue functioning.<br>- **Why it’s not correct**: While this method can improve network reliability and redundancy, it does not protect against over-voltage caused by lightning. Both communication paths would still be vulnerable to the same surge, and the split itself doesn't mitigate the effects of a lightning strike on the electrical system.<br><br>### Summary:<br><br>- **a) SPD**: Correct, as it directly protects equipment from voltage surges caused by lightning strikes.<br>- **b) Digitalizing circuits**: Focuses on modernizing control circuits but doesn’t prevent over-voltage.<br>- **c) Power generator**: Provides backup power but does not protect against voltage spikes.<br>- **d) Redundant communication paths**: Improves reliability but doesn't prevent surge damage.	service-management philnits 2018 2018A_FE_58
2018A_FE_59	Among the statuses found through auditing the operation management of the system operations, which of the following must be described in the audit report as a finding?<br><br>a) The operator decides a daily operation plan and approves it himself.<br>b) The operator records the exception handling that occurs during the operation.<br>c) The person responsible for operations checks the operation records created by the<br>operator.<br>d) The person responsible for operations stores the operation records by specifying the time<br>period.	a) The operator decides a daily operation plan and approves it himself.<br><br>## Audit Report Findings<br><br>> [!caution] They must be negative things that must be pointed out and fixed after an audit.<br><br>### **a) The operator decides a daily operation plan and approves it himself** (Correct Answer):<br><br>- **Explanation**: In this scenario, the same person (the operator) is both **creating** and **approving** the daily operation plan, which violates the principle of **segregation of duties**. Segregation of duties is crucial in any organization to ensure that no single person has control over an entire process. This reduces the risk of errors or fraud since different people are responsible for various aspects of decision-making and oversight.<br>- **Why it’s a finding**: Allowing the operator to both plan and approve the operations creates a risk of unchecked decisions, conflicts of interest, or potential mistakes going unnoticed. In proper operations management, there should be a **separation of roles**—one person should plan, and another should review and approve to ensure accountability. This is a control weakness that auditors would flag as a finding in an audit report.<br><br>### **b) The operator records the exception handling that occurs during the operation**:<br><br>- **Explanation**: In this case, the operator is documenting exceptions or issues that arise during the operation. Recording exception handling is a good practice and is essential for tracking problems, troubleshooting, and ensuring transparency in operations.<br>- **Why it’s not a finding**: This is part of the normal operations process and is not a control weakness. In fact, it is encouraged as part of proper system operations to maintain accurate records and track incidents or anomalies.<br><br>### **c) The person responsible for operations checks the operation records created by the operator**:<br><br>- **Explanation**: Here, the person in charge of operations is reviewing the records created by the operator. This is a form of oversight and control where the person responsible for operations verifies that the records are accurate and consistent with established procedures.<br>- **Why it’s not a finding**: This reflects proper internal control and segregation of duties. The operator performs the task, and the responsible person reviews and checks it. This reduces the likelihood of errors or fraud and is in line with good operational practices.<br><br>### **d) The person responsible for operations stores the operation records by specifying the time period**:<br><br>- **Explanation**: In this scenario, the person responsible for operations is managing the storage of operation records with clear specifications of the time period. Proper record storage is essential for auditing, accountability, and future reference.<br>- **Why it’s not a finding**: This reflects a proper record-keeping process and control. Storing records with specified time periods is good practice for maintaining data integrity and ensuring that records are easily retrievable for audits or reviews. There is no control weakness here.<br><br>### Summary of Differences:<br><br>- **a)** involves a **lack of segregation of duties**, which is a control weakness that must be reported.<br>- **b)**, **c)**, and **d)** represent standard, well-managed operational practices, with proper documentation, oversight, and record-keeping.	service-management philnits 2018 2018A_FE_59
2018A_FE_60	Which of the following is the most appropriate description concerning an interview that is conducted by a system auditor?<br><br>a) The administrator of the audited department, who has experience in auditing tasks, is<br>selected as the interviewee.<br>b) The entire interview is conducted by one (1) system auditor, because discrepancies may<br>occur in the record if multiple auditors are involved.<br>c) The system auditor instructs the audited department to take improvement measures for<br>deficiencies found during the interview.<br>d) The system auditor makes an effort to obtain documents and records that support the<br>information obtained from the audited department during the interview.	d) The system auditor makes an effort to obtain documents and records that support the<br>information obtained from the audited department during the interview.<br><br>## Choices<br><br>### a) The administrator of the audited department, who has experience in auditing tasks, is selected as the interviewee.<br><br>- **Explanation**: While it can be useful to have knowledgeable individuals in interviews, selecting an administrator who has experience in auditing may introduce bias. This person may not provide an objective view of the department's operations. An auditor typically interviews various staff members to gain a comprehensive understanding.<br><br>### b) The entire interview is conducted by one (1) system auditor because discrepancies may occur in the record if multiple auditors are involved.<br><br>- **Explanation**: While having a single auditor can help maintain consistency in the interview process, it is not a requirement. In some cases, having multiple auditors can provide a broader perspective and allow for better checks and balances. The potential for discrepancies should be managed through careful documentation and communication, not by restricting the number of auditors.<br><br>### c) The system auditor instructs the audited department to take improvement measures for deficiencies found during the interview.<br><br>- **Explanation**: This option misrepresents the auditor's role. System auditors typically do not provide directives or instructions during the interview; instead, they assess and document findings. Recommendations for improvement are usually provided in the final audit report after thorough analysis.<br><br>### d) The system auditor makes an effort to obtain documents and records that support the information obtained from the audited department during the interview. (Correct)<br><br>- **Explanation**: This is the most appropriate description. A critical aspect of auditing is validating information obtained through interviews by cross-referencing it with supporting documents and records. This ensures accuracy and reliability in the audit findings and helps the auditor form a complete picture of the department's operations.	service-management philnits 2018 2018A_FE_60
2018S_FE_AM_41	Which of the following is an appropriate purpose of using a hash value in digital forensics?<br>**a) To convert a password with a one-way function so that recovery is not possible, then store it<br>b) To prove the identicalness between the original and the duplicate copy of the data that can be used as evidence<br>c) To restore altered data to its original form so that it can be used as evidence<br>d) To verify whether password tapping occurred or not**	**b) To prove the identicalness between the original and the duplicate copy of the data that can be used as evidence**<br>### Elimination<br>Because the question asks about the use of hashing in digital forensics, we can deduce that most hashes are extremely difficult to decode, which cancels out c) and d), as they involve some sort of decoding that is in most cases, not viable.<br>Because forensics deals with investigation and not storage, a) can also be ruled out as there is usually no reason for investigators to store a password’s hash, especially if it’s not recoverable, and thus unusable in investigation.<br>This leaves us with b) through elimination.<br>### Explanation<br>Under the Acquisition section of the **Standards and best practices for digital forensics** in UNODC:<br>"To determine whether the duplicate is an exact copy of the original a _hash value_ is calculated using mathematical computations; here, a cryptographic hash function is used to produce a hash value. If the hash values for the original and copy match, then the contents of the duplicate are the exact same as the original."	cybersecurity philnits 2018 2018S_FE_AM_41
2018S_FE_AM_42	Which of the following is an appropriate operation for user authentication that uses an IC card and a PIN?<br>**a) Given that each user can be identified by an IC card, a common PIN is set for all users in order to reduce the management workload.<br>b) If an IC card is lost, a new IC card is issued, and after the PIN is reset, the lost IC card is deactivated.<br>c) The PIN is set by combining the numeric information imprinted on the surface of the IC card.<br>d) When an IC card is delivered, the PIN is not enclosed, but is notified to the user through another channel.**	**d) When an IC card is delivered, the PIN is not enclosed, but is notified to the user through another channel.**<br>### Elimination<br>Since the question asks for appropriate user authentication, both the identifier, in this case the IC card, and the passcode, being the PIN should be unique. Therefore this rules out a) as a common PIN for all cards contains a security issue where users can use other IC cards for unintended purposes. This also rules out b) since this pertains to recovery, not authentication.<br>While c) satisfies most of the appropriate authentication methods, it fails in where malicious actors could have easy access to the PIN if its algorithm involves numbers imprinted within the IC card, and runs through the same issue as a) as to where users can have access to other cards if they simply have it.<br>This leaves us with d) through elimination.<br>### Explanation<br>According to SoFi Technologies and Chase Bank, PINs are almost always mailed separately from your card for security reasons. This is because to authenticate, one needs both the PIN and the Card, if both are mailed in the same package and are intercepted, there is a high likelihood that a malicious actor could gain access to your card. Adding a layer of redundancy where the user is notified through two separate channels for both the card and the PIN allows the distributor to verify that the right user has received both.	cybersecurity philnits 2018 2018S_FE_AM_42
2018S_FE_AM_43	When malware that has made a successful intrusion into a PC communicates with a command-and-control server on the Internet, which of the following is a reason for using the TCP port number 80 as the destination port in most cases?<br>**a) Given that this port is used for browsing websites, there is a high probability that communication is allowed by the firewall.<br>b) Given that this port is used for browsing websites through HTTPS communication, there is a low probability that this port is detected by an intrusion detection system.<br>c) Given that this port is used for the name resolution of a domain name, there is a low probability that this port is detected by an intrusion detection system.<br>d) Given that this port is used in a DNS zone transfer, there is a high probability that communication is allowed by the firewall.**	**a) Given that this port is used for browsing websites, there is a high probability that communication is allowed by the firewall.**<br>### Explanation<br>This is because TCP port 80 is normally firewall friendly and is prone to administrative mismanagement. This means that packets sent and received from sources using this port often go unchecked, and goes undiscovered until manual inspection or another system flags the packets as suspicious. ඞඞඞ	cybersecurity philnits 2018 2018S_FE_AM_43
